prompt_id,input_tokens,output_tokens,runtime_seconds,energy_joules,tin_tout
1,8,58,1.4737296104431152,262.744,464
2,8,58,1.322720289230347,291.729,464
3,8,58,1.43711519241333,292.3835,464
4,8,58,1.3973493576049805,191.658,464
5,13,63,1.3271434307098389,288.5525,819
6,8,58,2.2859039306640625,460.24300000000005,464
7,8,58,1.4828519821166992,271.93100000000004,464
8,8,58,1.5738139152526855,346.391,464
9,8,58,1.4914321899414062,274.7935,464
10,13,63,1.4640302658081057,234.0685,819
11,8,58,1.4409799575805664,288.7515,464
12,14,64,1.3315532207489014,264.68,896
13,23,73,1.4090261459350586,281.993,1679
14,10,60,1.415292501449585,293.278,600
15,12,62,1.35899019241333,268.6155,744
16,9,59,1.5646116733551023,300.298,531
17,8,58,1.5381991863250732,382.397,464
18,16,66,1.5371041297912598,339.746,1056
19,10,60,1.5884618759155271,338.144,600
20,13,63,1.4489097595214844,261.966,819
21,14,64,1.5728890895843506,385.273,896
22,9,59,1.527574062347412,365.016,531
23,11,61,1.6591899394989014,322.644,671
24,12,62,1.7074916362762451,334.028,744
25,15,65,1.6972770690917969,364.5175,975
26,7,57,1.7196877002716064,309.272,399
27,17,67,1.4842162132263184,290.688,1139
28,8,58,1.53076434135437,366.8775,464
29,9,59,1.4801335334777832,292.2655,531
30,11,61,1.6279659271240234,353.622,671
31,12,62,1.6044135093688965,353.35450000000003,744
32,10,60,1.4766855239868164,272.5475,600
33,11,61,1.4154622554779053,292.7995,671
34,11,61,1.3865821361541748,292.12850000000003,671
35,16,66,1.342426061630249,245.2105,1056
36,13,63,1.4460151195526123,293.0625,819
37,11,27,0.4683840274810791,88.083,297
38,15,65,1.5056748390197754,274.379,975
39,10,60,1.5284736156463623,312.957,600
40,12,62,1.5247995853424072,371.6065,744
41,18,45,0.8217153549194336,169.66,810
42,11,61,1.4360644817352295,241.592,671
43,10,60,1.530345439910889,341.7925,600
44,16,66,1.5118894577026367,337.6785,1056
45,11,61,1.4353079795837402,295.863,671
46,9,59,1.3404850959777832,275.47400000000005,531
47,11,61,1.4698429107666016,278.3835,671
48,11,61,1.4722797870635986,293.038,671
49,10,60,1.3416268825531006,241.9455,600
50,25,75,1.5272841453552246,339.36,1875
51,10,60,1.4249961376190186,265.181,600
52,12,62,1.4601964950561523,238.2315,744
53,9,59,1.5267066955566406,356.2665,531
54,8,58,1.5775620937347412,388.813,464
55,9,59,1.534407377243042,341.3715,531
56,12,62,1.4068169593811035,284.5235,744
57,10,60,1.6496453285217283,314.1465,600
58,11,61,1.5738110542297363,360.7895,671
59,11,61,1.4597322940826416,257.195,671
60,20,70,1.5858078002929688,328.9765,1400
61,18,68,1.421097755432129,267.095,1224
62,10,60,1.4122915267944336,279.403,600
63,12,62,1.602876901626587,382.92050000000006,744
64,8,58,1.6619563102722168,381.734,464
65,12,29,0.548818826675415,155.6,348
66,12,62,1.5570461750030518,377.14,744
67,11,61,1.6901626586914062,344.409,671
68,9,59,1.6967816352844238,349.8245,531
69,11,61,1.4619035720825195,252.197,671
70,10,44,1.1138441562652588,253.4135,440
71,13,63,1.6874778270721436,354.439,819
72,12,62,1.7003333568572998,356.27,744
73,9,59,1.707186222076416,352.5245,531
74,8,58,2.425536870956421,470.21850000000006,464
75,8,58,1.94312047958374,337.356,464
76,8,58,1.7844221591949463,364.3245,464
77,8,58,1.7398350238800049,302.372,464
78,13,63,1.42809796333313,269.7565,819
79,8,58,1.4218089580535889,283.8125,464
80,14,64,1.3916294574737549,214.35200000000003,896
81,23,73,1.321120262145996,273.463,1679
82,10,60,1.660325527191162,355.36,600
83,12,62,1.664353847503662,382.67,744
84,9,59,1.5798988342285156,385.163,531
85,8,58,1.644202709197998,384.9895,464
86,16,66,1.501504898071289,252.933,1056
87,10,60,1.7487733364105225,379.103,600
88,13,63,1.6834726333618164,341.17,819
89,14,64,1.653808832168579,387.282,896
90,9,59,1.402261734008789,282.4335,531
91,11,61,1.3761963844299316,286.758,671
92,12,62,1.513716697692871,354.411,744
93,15,65,1.328155279159546,284.815,975
94,7,57,1.371476411819458,257.6575,399
95,17,67,1.4460248947143557,294.115,1139
96,8,58,1.3443236351013184,276.7655,464
97,9,59,1.8928864002227783,352.7485,531
98,11,61,1.5259606838226318,361.0135,671
99,12,62,1.6457524299621582,343.785,744
100,10,60,1.5974962711334229,357.1015,600
101,11,61,1.3161118030548096,249.0635,671
102,11,61,1.365659475326538,284.8095,671
103,16,66,1.401350021362305,289.38,1056
104,13,63,1.4537107944488523,257.79200000000003,819
105,11,27,0.444521427154541,58.68,297
106,15,65,1.6476402282714844,341.4465,975
107,10,60,1.3973398208618164,275.653,600
108,12,62,1.4296700954437256,258.735,744
109,18,45,0.8919937610626221,184.289,810
110,11,61,1.36924147605896,253.2975,671
111,10,60,1.4325213432312012,241.8615,600
112,16,66,1.5448572635650637,339.669,1056
113,11,61,1.4746973514556885,254.3745,671
114,9,59,1.5231614112854004,351.056,531
115,11,61,1.3955307006835938,276.5445,671
116,11,61,1.3918931484222412,252.881,671
117,10,60,1.5366883277893066,357.7575,600
118,25,75,1.4590356349945068,258.355,1875
119,10,60,1.6883728504180908,319.809,600
